gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2283249171	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/28522005	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR		Puntarenas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.651553	-83.744504	31271.0						2018-01-05T15:56:00Z	5	1	2018	5959227	5959227	HUMAN_OBSERVATION	iNaturalist	Observations	28522005			2019-07-09T21:52:47Z	CC_BY_NC_4_0	Ari Rice	Ari Rice			2019-08-28T00:35:26.986Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2244271414	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25412608	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR		Puntarenas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.691419	-84.700355	31227.0						2018-11-25T17:53:00Z	25	11	2018	5959227	5959227	HUMAN_OBSERVATION	iNaturalist	Observations	25412608			2019-05-19T23:11:00Z	CC_BY_NC_4_0	bandonman	bandonman			2019-08-28T00:21:20.370Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2242831216	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24530685	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR		Puntarenas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.719476	-83.622591	31271.0						2018-07-02T14:08:00Z	2	7	2018	5959227	5959227	HUMAN_OBSERVATION	iNaturalist	Observations	24530685			2019-05-04T19:13:19Z	CC_BY_NC_4_0	Gustavo Garza Arrambide	Gustavo Garza Arrambide			2019-08-28T00:16:58.828Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2242813134	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24455509	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR		Puntarenas			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.690136	-84.575723	31227.0						2018-01-29T16:36:00Z	29	1	2018	5959227	5959227	HUMAN_OBSERVATION	iNaturalist	Observations	24455509			2019-05-03T18:15:42Z	CC_BY_NC_4_0	chris-hannah	chris-hannah			2019-08-28T00:16:36.439Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2233925578	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS706459325	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Nammbú - Playa Carrillo	Guanacaste		3	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.864875	-85.480936							2018-10-25T00:00:00Z	25	10	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS706459325				CC0_1_0		obsr1089638			2019-03-31T21:19:08.104Z		COORDINATE_ROUNDED
2233830020	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS703777681	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	PN Carara (Localidad General)	Puntarenas		4	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.784445	-84.566402							2018-01-18T00:00:00Z	18	1	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS703777681				CC0_1_0		obsr1178106			2019-03-31T21:17:09.341Z		COORDINATE_ROUNDED
2233827661	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS703777331	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Río Tarcoles--Boat Tour	Puntarenas		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.779773	-84.626343							2018-01-18T00:00:00Z	18	1	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS703777331				CC0_1_0		obsr1178106			2019-03-31T21:17:08.373Z		COORDINATE_ROUNDED
2233760065	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS702217290	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Punta Leona	Puntarenas		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.705425	-84.662703							2018-12-23T00:00:00Z	23	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS702217290				CC0_1_0		obsr1232415			2019-03-31T21:16:42.837Z		COORDINATE_ROUNDED
2233674613	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS700493757	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Provincia de Puntarenas, CR (9.719, -84.652) Río Agujas	Puntarenas		7	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.719384	-84.651923							2018-12-29T00:00:00Z	29	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS700493757				CC0_1_0		obsr1227546			2019-03-31T21:11:13.453Z		COORDINATE_ROUNDED
2233673637	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS700469061	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara macao		SPECIES	Ara macao (Linnaeus, 1758)	Ara macao		CR	Drake Bay Wilderness Resort	Puntarenas			e2e717bf-551a-4917-bdc9-4fa0f342c530	8.69577	-83.674347							2018-12-17T00:00:00Z	17	12	2018	5959227	5959227	HUMAN_OBSERVATION	CLO	EBIRD	OBS700469061				CC0_1_0		obsr1168672			2019-03-31T21:11:12.632Z		COORDINATE_ROUNDED
